reason,super_reasons,museum_id,has_collection
loss of premises,loss of premises,mm.misc.215,True
unknown,unknown,mm.New.27,True
building; building - unsuitable - access; collections - collection damaged - infestation,building problems; access issues; infestation,mm.domus.SC024,True
financial - funding cut - local authority funding cut,local authority budget cuts,mm.domus.YH015,True
financial - costs - low revenue,insufficient revenue,mm.wiki.089,True
loss of premises - change of use; strategic closure - amalgamation,premises repurposed; amalgamation,mm.mgs.316,True
loss of premises - sold,building sold,mm.domus.SC231,True
financial - costs - low revenue; staff - insufficient staff - no volunteers,insufficient revenue; too few volunteers,mm.mgs.353,True
loss of premises,loss of premises,mm.wiki.038,True
loss of premises; loss of premises - sold,loss of premises; building sold,mm.MDN.032,True
life events - death - death of founder,founder's death,mm.domus.SE354,True
loss of premises - change of use - space repurposed,space repurposed,mm.aim82NM.100,True
financial - costs; strategic closure - seeking new premises,costs; seeking new premises,mm.domus.SE040,True
strategic closure - amalgamation,amalgamation,mm.domus.SE332,True
strategic closure - amalgamation; building - unsuitable - access,amalgamation; wanted improved access to collection,mm.aim.0486,True
loss of premises - legal - lease expired,lease expired,mm.aim.0528,True
loss of premises - legal - lease expired,lease expired,mm.misc.047,True
financial,financial constraints,mm.domus.NI035,True
building - unsuitable,unsuitable premises;,mm.domus.SE363,True
loss of premises - change of use,building repurposed,mm.aim.1136,True
life events - retirement - retirement of owner; loss of premises - change of use,retirement of owner; premises repurposed,mm.aim.0062,True
financial - costs; financial - costs - low revenue; building - unsuitable - facilities,increasing costs; insufficient revenue; lack of parking,mm.New.233,True
life events - retirement - retirement of owner,owner(s) wanted to retire from museum work?,mm.aim.0651,True
financial - costs - low revenue; loss of premises - legal - lease expired; financial - mismanagement,insufficient revenue; lease expiry; financial mismanagement?,mm.MDN.005,True
financial - costs,rent increase,mm.musa.204,True
financial - insolvency,deficit and liquidation,mm.domus.YH082,True
strategic closure - premises not required,premises not required,mm.domus.NI034,True
financial - costs - low revenue,insufficient revenue?,mm.musa.115,True
loss of premises - change of use,premises repurposed,mm.domus.SW066,True
low visitor numbers; financial - funding cut - local authority funding cut,too few visitors; local authority funding cuts,mm.domus.SE605,True
