initial_museum_id,initial_museum_name,initial_museum_size,initial_museum_governance,initial_museum_accreditation,initial_museum_subject,initial_museum_town,initial_museum_region,initial_museum_postcode,super_event_id,super_event_date,super_event_reasons,event_id,event_stage_in_path,event_type,event_core_type,event_type_uncertainty,event_is_end_of_existence,event_is_change_of_ownership,event_is_change_of_custody,event_date,event_date_from,event_date_to,previous_event_id,sender_id,sender_name,sender_mm_id,sender_type,sender_core_type,sender_sector,recipient_id,recipient_name,recipient_mm_id,recipient_quantity,recipient_type,recipient_core_type,recipient_sector,recipient_size,recipient_governance,recipient_accreditation,recipient_subject,recipient_town,recipient_region,recipient_postcode,object_id,parent_object_id,object_size,object_quantity,object_status,object_types,object_description
mm.aim82NM.045,Fordingbridge Doll Museum,small,private,unaccredited,leisure & sport: toys & models,Fordingbridge,South East,SP6 1AH,cm204,2012,life events - too much work,event1018,0,sold,sold,certain,False,True,True,2012,,,,museummm.aim82NM.045,Fordingbridge Doll Museum,mm.aim82NM.045,museum,museum,private,unknown_actor_1018,unknown actor 1018,,1,actor,,unknown,,,,,,,,cm204fordingbridge-doll-all,,all,150,collection,['doll'],
mm.aim82NM.119,Museum Of Agricultural Bygones,large,private,unaccredited,mixed: bygones,Ringmer,South East,BN8 5UT,cm205,2000,loss of premises,event1020,0,transferred,transferred,certain,False,True,True,2000,,,,museummm.aim82NM.119,Museum Of Agricultural Bygones,mm.aim82NM.119,museum,museum,private,stanmer-rural-museum,Stanmer Rural Museum,mm.wiki.117,1,museum,museum,third,small,not-for-profit,unaccredited,rural industry: farming,Brighton,South East,BN1 9SE,cm205museum-agricultural-bygones-most,,most,,collection,['miscellaneous'],Household and agricultural bygones
mm.domus.SW192,Royal Photographic Society,medium,not-for-profit,unaccredited,arts: photography,Bath,South West,BA1 1DN,cm206,2001,loss of premises,event1022,0,direct sale,sold,certain,False,True,True,2002/2003,,,,museummm.domus.SW192,Royal Photographic Society,mm.domus.SW192,museum,museum,third,national-science-media-museum,National Science And Media Museum,mm.domus.YH146,1,museum,museum,public,large,national,accredited,communications: other,Bradford,Yorks & Humber,BD1 1NQ,cm206rps-bath-all,,all,,collection,"['photograph', 'miscellaneous']",
mm.domus.SW192,Royal Photographic Society,medium,not-for-profit,unaccredited,arts: photography,Bath,South West,BA1 1DN,cm206,2001,loss of premises,event1023,1,transferred,transferred,certain,False,True,True,2016,,,event1022,national-science-media-museum,National Science And Media Museum,mm.domus.YH146,museum,museum,public,vam,Victoria & Albert Museum,mm.domus.SE168,1,museum,museum,public,huge,national,accredited,arts: fine & decorative arts,London,London,SW7 2RL,cm206rps-bath-all,,all,,collection,"['photograph', 'miscellaneous']",
mm.domus.SE185,Museum Of Isle Of Wight Geology,large,local authority,unaccredited,natural world: geology,Sandown,South East,PO36 8AF,cm207,2001,strategic closure - replacement museum,event1025,0,transferred,transferred,certain,False,True,True,2001,,,,museummm.domus.SE185,Museum Of Isle Of Wight Geology,mm.domus.SE185,museum,museum,public,dinosaur-isle,Dinosaur Isle,mm.ace.1115,1,museum,museum,public,large,local authority,accredited,natural world: dinosaurs,Sandown,South East,PO36 8QA,cm207isle-wight-geo-all,,all,,collection,"['geological sample', 'miscellaneous']",
mm.wiki.337,Peat Moors Centre,medium,local authority,unaccredited,natural world: other,Westhay,South West,BA6 9TT,cm208,2009,financial - funding cut - local authority funding cut,event1027,0,transferred,transferred,certain,False,True,True,2009,,,,museummm.wiki.337,Peat Moors Centre,mm.wiki.337,museum,museum,public,somerset-heritage-centre,Somerset Heritage Centre,,1,archive,library/archive,public,,,,,Taunton,South West,TA2 6SF,cm208peat-moors-all,,all,,collection,['miscellaneous'],
mm.wiki.337,Peat Moors Centre,medium,local authority,unaccredited,natural world: other,Westhay,South West,BA6 9TT,cm208,2009,financial - funding cut - local authority funding cut,event1028,1,stored,stored,certain,False,False,False,2009,,,event1027,somerset-heritage-centre,Somerset Heritage Centre,,archive,library/archive,public,,,,,,,,,,,,,,,cm208peat-moors-all,,all,,collection,['miscellaneous'],
mm.wiki.337,Peat Moors Centre,medium,local authority,unaccredited,natural world: other,Westhay,South West,BA6 9TT,cm208,2009,financial - funding cut - local authority funding cut,event1029,2,transferred,transferred,certain,False,True,True,2017?,,,event1028,somerset-heritage-centre,Somerset Heritage Centre,,archive,library/archive,public,avalon-archaeology,Avalon Archaeology,,1,heritage society,heritage,third,,,,,Westhay,South West,BA6 9TT,cm208peat-moors-avalon,cm208peat-moors-all,some,,collection,['miscellaneous'],
mm.Mus70Cal.010,Charterhouse School Museum,small,not-for-profit,unaccredited,mixed: encyclopaedic,Godalming,South East,GU7 2DX,cm209,2002,loss of premises - change of use - space repurposed; financial - funding cut,event1031,0,sent-to-auction,sold,certain,False,True,True,2002-11-05 00:00:00,,,,museummm.Mus70Cal.010,Charterhouse School Museum,mm.Mus70Cal.010,museum,museum,third,sothebys-london,Sothebys London,,1,auction house,trader,private,,,,,London,,,cm209charterhouse-most,,most,,collection,['miscellaneous'],
mm.Mus70Cal.010,Charterhouse School Museum,small,not-for-profit,unaccredited,mixed: encyclopaedic,Godalming,South East,GU7 2DX,cm209,2002,loss of premises - change of use - space repurposed; financial - funding cut,event1032,0,sent-to-auction,sold,certain,False,True,True,2002-10,,,,museummm.Mus70Cal.010,Charterhouse School Museum,mm.Mus70Cal.010,museum,museum,third,sothebys-ny,Sothebys New York,,1,auction house,trader,private,,,,,New York,,,cm209charterhouse-buddha,,few,1,collection,['statue'],Buddha statue
mm.Mus70Cal.010,Charterhouse School Museum,small,not-for-profit,unaccredited,mixed: encyclopaedic,Godalming,South East,GU7 2DX,cm209,2002,loss of premises - change of use - space repurposed; financial - funding cut,event1033,0,kept,kept,certain,False,False,False,,,,,museummm.Mus70Cal.010,Charterhouse School Museum,mm.Mus70Cal.010,museum,museum,third,,,,,,,,,,,,,,,cm209charterhouse-rest,,some,,collection,['miscellaneous'],
mm.misc.030,Ramsgate Motor Museum,small,private,unaccredited,transport: cars & motorbikes,Ramsgate,South East,CT11 9JY,cm210,2005,life events - too much work,event1035,0,sent-to-auction,sold,certain,False,True,True,2005-06,,,,museummm.misc.030,Ramsgate Motor Museum,mm.misc.030,museum,museum,private,unknown_auction house_1035,unknown auction house 1035,,1,auction house,trader,unknown,,,,,,,,cm210ramsgate-motor-all,,all,,collection,['vehicle'],
mm.aim.0129,British Cured Pilchards Ltd,small,private,unaccredited,food & drink,Newlyn,South West,TR18 5QH,cm211,2005,loss of premises - sold,event1037,0,sent-to-auction,sold,certain,False,True,True,2009?,,,,museummm.aim.0129,British Cured Pilchards Ltd,mm.aim.0129,museum,museum,private,david-lay,David Lay Auctioneers,,1,auction house,trader,private,,,,,Penzance,South West,TR18 4RE,cm211british-pilchard-sold,,some,,collection,['miscellaneous'],
mm.aim.0129,British Cured Pilchards Ltd,small,private,unaccredited,food & drink,Newlyn,South West,TR18 5QH,cm211,2005,loss of premises - sold,event1038,0,transferred,transferred,certain,False,True,True,2009,,,,museummm.aim.0129,British Cured Pilchards Ltd,mm.aim.0129,museum,museum,private,penlee-house,Penlee House Gallery & Museum,mm.domus.SW084,1,museum,museum,public,medium,local authority,accredited,mixed: encyclopaedic,Penzance,South West,TR18 4HE,cm211british-pilchard-penlee,,some,,collection,['miscellaneous'],
mm.aim.0129,British Cured Pilchards Ltd,small,private,unaccredited,food & drink,Newlyn,South West,TR18 5QH,cm211,2005,loss of premises - sold,event1039,0,transferred,transferred,certain,False,True,True,2009,,,,museummm.aim.0129,British Cured Pilchards Ltd,mm.aim.0129,museum,museum,private,eyemouth-maritime,Eyemouth Maritime Centre,mm.fcm.279,1,museum,museum,third,small,not-for-profit,unaccredited,sea & seafaring: boats & ships,Eyemouth,Scotland,TD14 5SS,cm211british-pilchard-eyemouth,,few,,collection,"['machine', 'machine press', 'miscellaneous']",Net-making machine; pilchard press; misc
mm.aim82NM.028,Calleva Museum,small,not-for-profit,unaccredited,archaeology: roman,Silchester,South East,RG7 2LU,cm212,2005,building - unsuitable; staff - insufficient staff,event1041,0,transferred,transferred,certain,False,True,True,2005,,,,museummm.aim82NM.028,Calleva Museum,mm.aim82NM.028,museum,museum,third,reading-museum,Reading Museum,mm.domus.SE094,1,museum,museum,public,large,local authority,accredited,mixed: encyclopaedic,Reading,South East,RG1 1QH,cm212calleva-all,,all,,collection,"['physical model', 'replica']",
